Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
LEXUS LS 500h,3.5,6,SCV-10,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LTYXV03.5P35,midsize car,7,23,31,26,5,No,345
LEXUS LX 570,5.7,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LTYXT05.7K6Y,standard SUV,3,12,16,14,1,No,636
LEXUS LX 570,5.7,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LTYXT05.7K6Y,standard SUV,3,12,16,14,1,No,636
LEXUS NX 300,2,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LTYXT02.0K6M,small SUV,3,22,28,25,5,No,358
LEXUS NX 300,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LTYXT02.0K6M,small SUV,3,22,28,25,5,No,358
LEXUS NX 300,2,4,SemiAuto-6,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LTYXT02.0K6M,small SUV,3,22,28,24,5,No,362
LEXUS NX 300,2,4,SemiAuto-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LTYXT02.0K6M,small SUV,3,22,28,24,5,No,362
LEXUS NX 300 F Sport,2,4,SemiAuto-6,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LTYXT02.0K6M,small SUV,3,22,27,24,5,No,374
LEXUS NX 300 F Sport,2,4,SemiAuto-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LTYXT02.0K6M,small SUV,3,22,27,24,5,No,374
LEXUS NX 300h,2.5,4,SCV-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LTYXT02.5P3M,small SUV,7,33,30,31,7,Yes,285
LEXUS NX 300h,2.5,4,SCV-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LTYXT02.5P3M,small SUV,7,33,30,31,7,Yes,285
LEXUS RC 300,2,4,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LTYXV02.0M5A,small car,5,21,30,24,5,No,363
LEXUS RC 300,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LTYXV02.0M5A,small car,5,21,30,24,5,No,363
LEXUS RC 300,3.5,6,SemiAuto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LTYXV03.5M5A,small car,5,18,24,21,4,No,422
LEXUS RC 300,3.5,6,SemiAuto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LTYXV03.5M5A,small car,5,18,24,21,4,No,422
LEXUS RC 350,3.5,6,SemiAuto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LTYXV03.5M5A,small car,5,19,26,21,4,No,422
LEXUS RC 350,3.5,6,SemiAuto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LTYXV03.5M5A,small car,5,19,26,21,4,No,422
LEXUS RC 350,3.5,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LTYXV03.5M5A,small car,5,20,28,23,5,No,388
LEXUS RC 350,3.5,6,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LTYXV03.5M5A,small car,5,20,28,23,5,No,388
LEXUS RC F,5,8,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LTYXV05.0M5A,small car,5,16,24,19,3,No,459
LEXUS RC F,5,8,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LTYXV05.0M5A,small car,5,16,24,19,3,No,459
LEXUS RX 350,3.5,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LTYXT03.5M5M,small SUV,5,20,27,23,5,No,391
